Num	MZ	True_MZ	0.806612601	L_MZ	D_MZ_Error_ppm	FoundInScans	D_MZ_Peak_Error_mean_ppm	D_MZ_Peak_Error_sd_ppm	D_MZ_Min_ppm	D_MZ_Max_ppm	Quant20_MZ_Diff_ppm	Quant80_MZ_Diff_ppm	RT	True_RT	0.106051154	negative = earlier	Shift	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	Area_N	Area_L	Fold	PeakRatio	LeftBorder_N	RightBorder_N	LeftBorder_L	RightBorder_L	Group_ID	Corr	Adducts	Hetero_Elements	ObservedIsoRatioMean_native_1	ObservedIsoRatioSD_native_1	TheoreticalIsoRatio_native_1	ObservedIsoRatioMean_labelled_1	ObservedIsoRatioSD_labelled_1	TheoreticalIsoRatio_labelled_1	CM12C_13CFg1.Area	CM12C_13CFg1.RT-Shift	CM12C_13CFg1.MZ-Shift	CM12C_13CFg1.MZ
9	207.0493848	207.0493848	0	213.0695653	0.388573963	31	0.320682405	0.135910216	0.127229421	0.56940767	0.200925796	0.422014921	3.709242658	3.8991	0		0.016567603	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	220263.1617	259199.8208	0.849781304	1.146080933	12.5	12.5	17	17	9	0.989076059	-	-	0.04479	0.00772	0.06489	0.05267	0.01075	0.08519	219753.81	0.18985748	0.589571	207.0495
15	271.6540364	270.1540364	1	276.1741654	0.107227715	7	0.089441367	0.807528254	-0.862680579	2.413264424	-0.591567889	0.470290146	3.733158502	3.9516	0		-0.00960675	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	19010.30199	118380.2548	0.160586764	0.219344484	15	15	11.5	17	10	0.953030832	-	41K1 (scans: 9, obs: 5.2%, exp: 7.5%)	0.16324	0.03901	0.06489	0.06562	0.01893	0.08519				
2786	270.15402												3.7331586					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										10										18996.912	0.21844125	0.22592725	270.15408
301	339.6799074	338.1799074	1	350.2202125	0.311014929	7	0.181574522	0.475590627	-0.836855787	1.058198078	-0.151026769	0.606994777	3.767411819	3.9688	0		0.008233039	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	9666.499624	7861.757552	1.229559619	1.230227788	8	8	6.5	6.5	11	0.867113611	-	-	0.1731	0.06071	0.12979	0.18634	0.03925	0.17039				
2788	338.1799												3.7674117					12		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										11										9666.435	0.20138836	-0.54144394	338.17972
5	162.5439994	161.0439994	1	166.0607859	0.226733068	15	0.442668232	0.709291222	-2.153459671	1.826006458	0.025771781	0.802715168	3.835725826	4.037933333	0		0.010559652	5	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	98140.95865	83117.81578	1.180745159	1.25771128	17	17	17	17	13	0.934060798	-	-	0.04967	0.011	0.05408	0.06363	0.01982	0.07099				
10	225.5759108	224.0759108	1	230.0960145	0.016146314	39	0.016389859	0.157294261	-0.291017275	0.458044412	-0.086727724	0.117561827	3.753324904	3.9516	0		0.010559652	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	719205.5066	776914.0338	0.925720833	1.017707845	17	17	17	17	13	0.996864448	-	-	0.04535	0.00496	0.06489	0.05194	0.00694	0.08519				
4	144.5335221	143.0335221	1	148.0502762	0.028797445	3	0.018348927	0.438426767	-1.464500442	0.669095773	-0.184342713	0.370392303	3.835725826	4.037933333	0		0.010559652	5	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	61159.3853	48558.91615	1.25948827	1.62998415	17	17	17	17	13	0.949612599	-	-	0.05709	0.0127	0.05408	0.06924	0.00788	0.07099				
7	190.5388942	189.0388942	1	195.0591697	0.928454437	3	0.59194688	0.704784154	-1.071414766	2.076576424	0.01020272	1.220968562	3.86938119	4.073183333	0		0.010559652	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	67761.79923	43632.78121	1.553002063	2.025788157	16.5	16.5	17	17	13	0.919754603	-	-	0.05932	0.01727	0.06489	0.10537	0.02409	0.08519				
13	253.6071097	252.1071097	1	258.1271824	-0.108255574	9	-0.037365124	0.785457865	-2.013885465	2.283391295	-0.549179865	0.286065477	3.769738433	3.9688	0		0.010559652	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	61524.91781	59164.99937	1.039887069	1.129796928	17	17	17	17	13	0.941484349	-	34S3 (scans: 5, obs: 14.5%, exp: 13.3%)	0.09857	0.02497	0.06489	0.07067	0.00952	0.08519				
