Num	MZ	L_MZ	D_MZ	RT	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	OGroup	Ion	Loss	M	160125_pos_244_ExpMetMarc_KPX_28_freshprep_Test_Area	160125_pos_244_ExpMetMarc_KPX_28_fromorigExp_Test_Area	160125_pos_244_ExpMetMarc_KPX_29_freshprep_Test_Area	160125_pos_244_ExpMetMarc_KPX_29_fromorigExp_Test_Area	160125_pos_244_ExpMetMarc_KPX_30_freshprep_Test_Area	160125_pos_244_ExpMetMarc_KPX_30_fromorigExp_Test_Area	_160125_pos_244_12C13C_DON_Treatment_Remus_Area_N	_160125_pos_244_12C13C_DON_Treatment_Remus_Area_L	_160125_pos_244_12C13C_DON_Treatment_Remus_FID	_160125_pos_244_12C13C_DON_Treatment_Remus_GroupID	_160125_pos_244_12C13C_Fg_Treatment_Remus_Area_N	_160125_pos_244_12C13C_Fg_Treatment_Remus_Area_L	_160125_pos_244_12C13C_Fg_Treatment_Remus_FID	_160125_pos_244_12C13C_Fg_Treatment_Remus_GroupID	_160125_pos_243_solcomp_ACNFA_Ear_1_Area_N	_160125_pos_243_solcomp_ACNFA_Ear_1_Area_L	_160125_pos_243_solcomp_ACNFA_Ear_1_FID	_160125_pos_243_solcomp_ACNFA_Ear_1_GroupID	_160125_pos_243_solcomp_ACN_Ear_1_Area_N	_160125_pos_243_solcomp_ACN_Ear_1_Area_L	_160125_pos_243_solcomp_ACN_Ear_1_FID	_160125_pos_243_solcomp_ACN_Ear_1_GroupID	_160125_pos_243_solcomp_AcetoneFA_Ear_1_Area_N	_160125_pos_243_solcomp_AcetoneFA_Ear_1_Area_L	_160125_pos_243_solcomp_AcetoneFA_Ear_1_FID	_160125_pos_243_solcomp_AcetoneFA_Ear_1_GroupID	_160125_pos_243_solcomp_Acetone_Ear_1_Area_N	_160125_pos_243_solcomp_Acetone_Ear_1_Area_L	_160125_pos_243_solcomp_Acetone_Ear_1_FID	_160125_pos_243_solcomp_Acetone_Ear_1_GroupID	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_Area_N	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_Area_L	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_FID	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_GroupID	_160125_pos_243_solcomp_MeOHACN_Ear_1_Area_N	_160125_pos_243_solcomp_MeOHACN_Ear_1_Area_L	_160125_pos_243_solcomp_MeOHACN_Ear_1_FID	_160125_pos_243_solcomp_MeOHACN_Ear_1_GroupID	_160125_pos_243_solcomp_MeOHFA_Ear_1_Area_N	_160125_pos_243_solcomp_MeOHFA_Ear_1_Area_L	_160125_pos_243_solcomp_MeOHFA_Ear_1_FID	_160125_pos_243_solcomp_MeOHFA_Ear_1_GroupID	_160125_pos_243_solcomp_MeOH_Ear_1_Area_N	_160125_pos_243_solcomp_MeOH_Ear_1_Area_L	_160125_pos_243_solcomp_MeOH_Ear_1_FID	_160125_pos_243_solcomp_MeOH_Ear_1_GroupID	_160125_pos_244_12C13C_DON_Treatment_Remus_fold	_160125_pos_244_12C13C_Fg_Treatment_Remus_fold	_160125_pos_243_solcomp_ACNFA_Ear_1_fold	_160125_pos_243_solcomp_ACN_Ear_1_fold	_160125_pos_243_solcomp_AcetoneFA_Ear_1_fold	_160125_pos_243_solcomp_Acetone_Ear_1_fold	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_fold	_160125_pos_243_solcomp_MeOHACN_Ear_1_fold	_160125_pos_243_solcomp_MeOHFA_Ear_1_fold	_160125_pos_243_solcomp_MeOH_Ear_1_fold	doublePeak	Remus_Stat_fold	solvents_Stat_fold	Phe_Num	Phe_MZ	Phe_RT	Phe_Xn	Phe_Charge	Phe_Ionisation_Mode	Trp_Num	Trp_MZ	Trp_RT	Trp_Xn	Trp_Charge	Trp_Ionisation_Mode
3276	492.207326767	510.267626767	18.0603	12.73	18	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				39797.05623283129	93329.1203249597	40756.02320105774	98827.44294707211	47385.070337543446	97712.97224861434	264070.708893	213646.797581	2620.0	228.0	117872.111281	142298.76182								2410.0760204				4134.33169526							6931.41946896	4651.66602824			5351.35042083				4989.9415207				8407.31855471	2878.66630221			1.23601529198	0.828342494155					1.49009396352			2.92056031234	0	1	0	476	492.208130665	12.76	9.0	1	+						
3282	570.24860556	588.30890556	18.0603	12.76	18	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4							101447.69972342941		16964.95611798807	209574.704671	261940.758492	2624.0	228.0	57397.9026907	96518.0982616																				2604.98671009							2881.42407405	6789.30533176				3591.6845939			0.800084362119	0.594685387762							0.424406317473		0	1	0												
3320	882.28691742	900.34721742	18.0603	12.76	18	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				59572.04800936151	108687.88945318066	40690.824038911465	123451.19935024029	51545.229999790055	151721.63477982493	136187.586109	376863.209262	2637.0	228.0	44662.8931108	164295.830784																								4218.68063416				3002.61336628				7281.76261938			0.361371401511	0.271844348683									0	1	0												
3323	311.127861131	330.191511131	19.06365	12.79	19	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				77512.21659944355	92921.84945697726	68289.62511247025	77832.77695210566	70184.75182792278	86581.09909348779	229415.576821	366188.414664	2639.0	228.0	71337.1179808	158944.611001											10779.3948334				11855.2196102				23497.2793534	11466.8261558			19277.2841163	12340.5641081			19231.1763191	12256.6918867			19938.6411788	14267.6476484			0.62649599942	0.448817468748					2.04915283743	1.56210720575	1.56903481763	1.39747221618	0	1	0												
3422	411.25902375	430.32267375	19.06365	12.77	19	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				276634.14295312477	335172.942205482	271764.1739438935	312932.7099368258	305406.0131694355	424940.7627874469	275204.706905	67319.5894471	2735.0	228.0	336151.340895	133587.711556	2516	219																																	4.08803305494	2.51633430186									0	2	0												
3480	445.134211629	464.197861628	19.06365	12.78	19	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				214491.86295091355	517119.7049290366	231538.48374970982	542430.0379293875	241935.48096827205	556972.4275424262	736996.680942	3046926.84528	2789.0	228.0	321407.536524	1990881.91713	2563	218	108366.298713	19388.4404196			95300.4984148	19746.5099842			134514.156144	27249.19523			146523.217942	27540.4011562			187450.748503	38626.3700755			188634.460688	39283.7354361			163437.824414	35634.5821212			225103.617715	50343.8223055			0.241881974319	0.161439778903	5.58922205023	4.82619452709	4.93644509531	5.32030078687	4.85292167336	4.80184632634	4.58649476675	4.47132552528	0	2	0	444	445.134653266	12.8	9.0	1	+						
3701	460.27682027	480.34382027	20.067	12.81	20	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				17328.044293357994	21238.29448518149	9197.833881821172	19164.666931232994	18202.383360914544	24445.737413266925					326244.095836	191293.498179	2775	218																																		1.70546358837									0	1	0												
3871	475.181099324	496.251449324	21.07035	12.76	21	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4	[M+H]+		474.173823324		16808.487112257913		13675.102934740671	17447.198954447365	15678.19013136132	116047.629756	951205.545831	3152.0	228.0	15066.6491487	227565.329618				116864.672384				120756.800484				155649.717073				149489.422005				140094.846259				145865.718845				163467.321093				143326.666328			0.122000581541	0.0662080167221									0	1	0												
3880	492.207433532	513.277783532	21.07035	12.73	21	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4	[M+NH4]+		474.173610532	39797.05623283129	93058.9374454396	40756.02320105774	100119.70823668606	47002.72528651135	100207.69421508469	264070.708893	586488.255686	3184.0	228.0	117872.111281					2386.59998825				8010.2317351				9920.70953378				7470.81975552			6931.41946896	10078.9568804			5351.35042083	11965.2130775			4989.9415207	11367.2835127			8407.31855471	10262.1449203			0.450257454148						0.687711987579	0.447242383915	0.438973965513	0.819255488984	0	1	0	476	492.208130665	12.76	9.0	1	+						
4277	564.228661872	588.309061872	24.0804	12.79	24	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				106437.7342996258	138759.82649502743	98091.81502332685	184015.69050781959	114148.96832301418	207758.04999822655	140875.995938	261940.758492	3580.0	228.0	25784.4515809	96518.0982616																				2604.98671009								6789.30533176			4331.37470396	3591.6845939			0.537816248029	0.26714628702								1.2059451744	0	1	0	26	564.228869301	12.86	6.0	1	+	7	564.229174375	12.77	6.0	1	+
